adm3_name,adm3_pcode,adm2_pcode
13,ZW160113,ZW1601
10,ZW160110,ZW1601
12,ZW160112,ZW1601
16,ZW160116,ZW1601
6,ZW160106,ZW1601
7,ZW160107,ZW1601
3,ZW160103,ZW1601
1,ZW160101,ZW1601
8,ZW160108,ZW1601
14,ZW160114,ZW1601
15,ZW160115,ZW1601
9,ZW160109,ZW1601
5,ZW160105,ZW1601
2,ZW160102,ZW1601
4,ZW160104,ZW1601
11,ZW160111,ZW1601
3,ZW162203,ZW1622
2,ZW162202,ZW1622
5,ZW162205,ZW1622
6,ZW162206,ZW1622
4,ZW162204,ZW1622
1,ZW162201,ZW1622
26,ZW180126,ZW1801
25,ZW180125,ZW1801
2,ZW180102,ZW1801
20,ZW180120,ZW1801
24,ZW180124,ZW1801
14,ZW180114,ZW1801
7,ZW180107,ZW1801
8,ZW180108,ZW1801
4,ZW180104,ZW1801
29,ZW180129,ZW1801
28,ZW180128,ZW1801
10,ZW180110,ZW1801
21,ZW180121,ZW1801
18,ZW180118,ZW1801
11,ZW180111,ZW1801
30,ZW180130,ZW1801
12,ZW180112,ZW1801
22,ZW180122,ZW1801
9,ZW180109,ZW1801
13,ZW180113,ZW1801
32,ZW180132,ZW1801
16,ZW180116,ZW1801
17,ZW180117,ZW1801
3,ZW180103,ZW1801
1,ZW180101,ZW1801
5,ZW180105,ZW1801
6,ZW180106,ZW1801
31,ZW180131,ZW1801
15,ZW180115,ZW1801
19,ZW180119,ZW1801
23,ZW180123,ZW1801
27,ZW180127,ZW1801
16,ZW120116,ZW1201
15,ZW120115,ZW1201
17,ZW120117,ZW1201
20,ZW120120,ZW1201
21,ZW120121,ZW1201
19,ZW120119,ZW1201
7,ZW120107,ZW1201
10,ZW120110,ZW1201
6,ZW120106,ZW1201
18,ZW120118,ZW1201
2,ZW120102,ZW1201
5,ZW120105,ZW1201
1,ZW120101,ZW1201
4,ZW120104,ZW1201
3,ZW120103,ZW1201
13,ZW120113,ZW1201
9,ZW120109,ZW1201
8,ZW120108,ZW1201
14,ZW120114,ZW1201
12,ZW120112,ZW1201
11,ZW120111,ZW1201
4,ZW122104,ZW1221
5,ZW122105,ZW1221
7,ZW122107,ZW1221
1,ZW122101,ZW1221
2,ZW122102,ZW1221
10,ZW122110,ZW1221
9,ZW122109,ZW1221
8,ZW122108,ZW1221
3,ZW122103,ZW1221
12,ZW122112,ZW1221
11,ZW122111,ZW1221
6,ZW122106,ZW1221
4,ZW150104,ZW1501
2,ZW150102,ZW1501
21,ZW150121,ZW1501
19,ZW150119,ZW1501
24,ZW150124,ZW1501
6,ZW150106,ZW1501
5,ZW150105,ZW1501
15,ZW150115,ZW1501
22,ZW150122,ZW1501
8,ZW150108,ZW1501
7,ZW150107,ZW1501
10,ZW150110,ZW1501
9,ZW150109,ZW1501
16,ZW150116,ZW1501
18,ZW150118,ZW1501
25,ZW150125,ZW1501
20,ZW150120,ZW1501
12,ZW150112,ZW1501
13,ZW150113,ZW1501
1,ZW150101,ZW1501
23,ZW150123,ZW1501
3,ZW150103,ZW1501
17,ZW150117,ZW1501
11,ZW150111,ZW1501
14,ZW150114,ZW1501
10,ZW150210,ZW1502
1,ZW150201,ZW1502
5,ZW150205,ZW1502
20,ZW150220,ZW1502
9,ZW150209,ZW1502
8,ZW150208,ZW1502
19,ZW150219,ZW1502
14,ZW150214,ZW1502
22,ZW150222,ZW1502
11,ZW150211,ZW1502
12,ZW150212,ZW1502
23,ZW150223,ZW1502
15,ZW150215,ZW1502
17,ZW150217,ZW1502
3,ZW150203,ZW1502
18,ZW150218,ZW1502
7,ZW150207,ZW1502
4,ZW150204,ZW1502
16,ZW150216,ZW1502
6,ZW150206,ZW1502
13,ZW150213,ZW1502
21,ZW150221,ZW1502
2,ZW150202,ZW1502
12,ZW110112,ZW1101
24,ZW110124,ZW1101
21,ZW110121,ZW1101
18,ZW110118,ZW1101
32,ZW110132,ZW1101
26,ZW110126,ZW1101
23,ZW110123,ZW1101
19,ZW110119,ZW1101
20,ZW110120,ZW1101
22,ZW110122,ZW1101
29,ZW110129,ZW1101
25,ZW110125,ZW1101
28,ZW110128,ZW1101
33,ZW110133,ZW1101
30,ZW110130,ZW1101
6,ZW110106,ZW1101
2,ZW110102,ZW1101
4,ZW110104,ZW1101
13,ZW110113,ZW1101
31,ZW110131,ZW1101
8,ZW110108,ZW1101
10,ZW110110,ZW1101
3,ZW110103,ZW1101
9,ZW110109,ZW1101
1,ZW110101,ZW1101
11,ZW110111,ZW1101
5,ZW110105,ZW1101
17,ZW110117,ZW1101
16,ZW110116,ZW1101
14,ZW110114,ZW1101
15,ZW110115,ZW1101
7,ZW110107,ZW1101
27,ZW110127,ZW1101
3,ZW102103,ZW1021
1,ZW102101,ZW1021
5,ZW102105,ZW1021
4,ZW102104,ZW1021
2,ZW102102,ZW1021
10,ZW102110,ZW1021
29,ZW102129,ZW1021
14,ZW102114,ZW1021
8,ZW102108,ZW1021
9,ZW102109,ZW1021
18,ZW102118,ZW1021
17,ZW102117,ZW1021
19,ZW102119,ZW1021
16,ZW102116,ZW1021
11,ZW102111,ZW1021
28,ZW102128,ZW1021
13,ZW102113,ZW1021
27,ZW102127,ZW1021
7,ZW102107,ZW1021
20,ZW102120,ZW1021
21,ZW102121,ZW1021
22,ZW102122,ZW1021
24,ZW102124,ZW1021
23,ZW102123,ZW1021
25,ZW102125,ZW1021
6,ZW102106,ZW1021
15,ZW102115,ZW1021
26,ZW102126,ZW1021
12,ZW102112,ZW1021
22,ZW160222,ZW1602
8,ZW160208,ZW1602
15,ZW160215,ZW1602
12,ZW160212,ZW1602
9,ZW160209,ZW1602
10,ZW160210,ZW1602
13,ZW160213,ZW1602
18,ZW160218,ZW1602
21,ZW160221,ZW1602
16,ZW160216,ZW1602
1,ZW160201,ZW1602
4,ZW160204,ZW1602
20,ZW160220,ZW1602
17,ZW160217,ZW1602
19,ZW160219,ZW1602
3,ZW160203,ZW1602
2,ZW160202,ZW1602
5,ZW160205,ZW1602
7,ZW160207,ZW1602
11,ZW160211,ZW1602
6,ZW160206,ZW1602
14,ZW160214,ZW1602
29,ZW120229,ZW1202
12,ZW120212,ZW1202
11,ZW120211,ZW1202
25,ZW120225,ZW1202
16,ZW120216,ZW1202
4,ZW120204,ZW1202
23,ZW120223,ZW1202
1,ZW120201,ZW1202
5,ZW120205,ZW1202
19,ZW120219,ZW1202
2,ZW120202,ZW1202
3,ZW120203,ZW1202
13,ZW120213,ZW1202
14,ZW120214,ZW1202
28,ZW120228,ZW1202
22,ZW120222,ZW1202
26,ZW120226,ZW1202
15,ZW120215,ZW1202
9,ZW120209,ZW1202
27,ZW120227,ZW1202
24,ZW120224,ZW1202
8,ZW120208,ZW1202
10,ZW120210,ZW1202
18,ZW120218,ZW1202
17,ZW120217,ZW1202
21,ZW120221,ZW1202
6,ZW120206,ZW1202
7,ZW120207,ZW1202
20,ZW120220,ZW1202
2,ZW140102,ZW1401
1,ZW140101,ZW1401
6,ZW140106,ZW1401
15,ZW140115,ZW1401
21,ZW140121,ZW1401
17,ZW140117,ZW1401
22,ZW140122,ZW1401
11,ZW140111,ZW1401
24,ZW140124,ZW1401
23,ZW140123,ZW1401
9,ZW140109,ZW1401
10,ZW140110,ZW1401
27,ZW140127,ZW1401
4,ZW140104,ZW1401
12,ZW140112,ZW1401
29,ZW140129,ZW1401
3,ZW140103,ZW1401
8,ZW140108,ZW1401
7,ZW140107,ZW1401
5,ZW140105,ZW1401
25,ZW140125,ZW1401
20,ZW140120,ZW1401
28,ZW140128,ZW1401
19,ZW140119,ZW1401
14,ZW140114,ZW1401
13,ZW140113,ZW1401
16,ZW140116,ZW1401
18,ZW140118,ZW1401
26,ZW140126,ZW1401
12,ZW142312,ZW1423
1,ZW142301,ZW1423
10,ZW142310,ZW1423
4,ZW142304,ZW1423
7,ZW142307,ZW1423
9,ZW142309,ZW1423
6,ZW142306,ZW1423
5,ZW142305,ZW1423
8,ZW142308,ZW1423
11,ZW142311,ZW1423
2,ZW142302,ZW1423
3,ZW142303,ZW1423
1,ZW130101,ZW1301
13,ZW130113,ZW1301
8,ZW130108,ZW1301
2,ZW130102,ZW1301
3,ZW130103,ZW1301
23,ZW130123,ZW1301
5,ZW130105,ZW1301
25,ZW130125,ZW1301
22,ZW130122,ZW1301
28,ZW130128,ZW1301
24,ZW130124,ZW1301
29,ZW130129,ZW1301
7,ZW130107,ZW1301
10,ZW130110,ZW1301
6,ZW130106,ZW1301
9,ZW130109,ZW1301
4,ZW130104,ZW1301
30,ZW130130,ZW1301
21,ZW130121,ZW1301
17,ZW130117,ZW1301
27,ZW130127,ZW1301
18,ZW130118,ZW1301
16,ZW130116,ZW1301
20,ZW130120,ZW1301
26,ZW130126,ZW1301
19,ZW130119,ZW1301
14,ZW130114,ZW1301
12,ZW130112,ZW1301
11,ZW130111,ZW1301
15,ZW130115,ZW1301
2,ZW110202,ZW1102
1,ZW110201,ZW1102
7,ZW110207,ZW1102
17,ZW110217,ZW1102
15,ZW110215,ZW1102
12,ZW110212,ZW1102
8,ZW110208,ZW1102
20,ZW110220,ZW1102
13,ZW110213,ZW1102
19,ZW110219,ZW1102
10,ZW110210,ZW1102
21,ZW110221,ZW1102
18,ZW110218,ZW1102
22,ZW110222,ZW1102
4,ZW110204,ZW1102
5,ZW110205,ZW1102
16,ZW110216,ZW1102
6,ZW110206,ZW1102
3,ZW110203,ZW1102
11,ZW110211,ZW1102
9,ZW110209,ZW1102
14,ZW110214,ZW1102
23,ZW110223,ZW1102
1,ZW142101,ZW1421
2,ZW142102,ZW1421
15,ZW142115,ZW1421
11,ZW142111,ZW1421
3,ZW142103,ZW1421
13,ZW142113,ZW1421
5,ZW142105,ZW1421
14,ZW142114,ZW1421
9,ZW142109,ZW1421
10,ZW142110,ZW1421
8,ZW142108,ZW1421
12,ZW142112,ZW1421
4,ZW142104,ZW1421
7,ZW142107,ZW1421
6,ZW142106,ZW1421
21,ZW110321,ZW1103
20,ZW110320,ZW1103
23,ZW110323,ZW1103
17,ZW110317,ZW1103
16,ZW110316,ZW1103
22,ZW110322,ZW1103
24,ZW110324,ZW1103
29,ZW110329,ZW1103
26,ZW110326,ZW1103
27,ZW110327,ZW1103
15,ZW110315,ZW1103
7,ZW110307,ZW1103
6,ZW110306,ZW1103
2,ZW110302,ZW1103
9,ZW110309,ZW1103
11,ZW110311,ZW1103
1,ZW110301,ZW1103
12,ZW110312,ZW1103
18,ZW110318,ZW1103
13,ZW110313,ZW1103
14,ZW110314,ZW1103
5,ZW110305,ZW1103
4,ZW110304,ZW1103
3,ZW110303,ZW1103
8,ZW110308,ZW1103
25,ZW110325,ZW1103
28,ZW110328,ZW1103
10,ZW110310,ZW1103
30,ZW110330,ZW1103
19,ZW110319,ZW1103
3,ZW112303,ZW1123
4,ZW112304,ZW1123
8,ZW112308,ZW1123
1,ZW112301,ZW1123
7,ZW112307,ZW1123
6,ZW112306,ZW1123
5,ZW112305,ZW1123
2,ZW112302,ZW1123
24,ZW180224,ZW1802
32,ZW180232,ZW1802
20,ZW180220,ZW1802
10,ZW180210,ZW1802
12,ZW180212,ZW1802
11,ZW180211,ZW1802
13,ZW180213,ZW1802
17,ZW180217,ZW1802
30,ZW180230,ZW1802
27,ZW180227,ZW1802
18,ZW180218,ZW1802
28,ZW180228,ZW1802
16,ZW180216,ZW1802
19,ZW180219,ZW1802
6,ZW180206,ZW1802
9,ZW180209,ZW1802
31,ZW180231,ZW1802
23,ZW180223,ZW1802
29,ZW180229,ZW1802
22,ZW180222,ZW1802
3,ZW180203,ZW1802
2,ZW180202,ZW1802
1,ZW180201,ZW1802
25,ZW180225,ZW1802
4,ZW180204,ZW1802
5,ZW180205,ZW1802
8,ZW180208,ZW1802
15,ZW180215,ZW1802
21,ZW180221,ZW1802
14,ZW180214,ZW1802
26,ZW180226,ZW1802
7,ZW180207,ZW1802
8,ZW182208,ZW1822
5,ZW182205,ZW1822
7,ZW182207,ZW1822
6,ZW182206,ZW1822
2,ZW182202,ZW1822
1,ZW182201,ZW1822
4,ZW182204,ZW1822
3,ZW182203,ZW1822
17,ZW170117,ZW1701
1,ZW170101,ZW1701
18,ZW170118,ZW1701
11,ZW170111,ZW1701
2,ZW170102,ZW1701
6,ZW170106,ZW1701
21,ZW170121,ZW1701
9,ZW170109,ZW1701
5,ZW170105,ZW1701
4,ZW170104,ZW1701
10,ZW170110,ZW1701
3,ZW170103,ZW1701
7,ZW170107,ZW1701
23,ZW170123,ZW1701
25,ZW170125,ZW1701
24,ZW170124,ZW1701
14,ZW170114,ZW1701
8,ZW170108,ZW1701
19,ZW170119,ZW1701
16,ZW170116,ZW1701
13,ZW170113,ZW1701
12,ZW170112,ZW1701
22,ZW170122,ZW1701
15,ZW170115,ZW1701
20,ZW170120,ZW1701
6,ZW192206,ZW1922
12,ZW192212,ZW1922
18,ZW192218,ZW1922
24,ZW192224,ZW1922
23,ZW192223,ZW1922
22,ZW192222,ZW1922
7,ZW192207,ZW1922
9,ZW192209,ZW1922
25,ZW192225,ZW1922
21,ZW192221,ZW1922
4,ZW192204,ZW1922
5,ZW192205,ZW1922
3,ZW192203,ZW1922
2,ZW192202,ZW1922
1,ZW192201,ZW1922
8,ZW192208,ZW1922
10,ZW192210,ZW1922
11,ZW192211,ZW1922
13,ZW192213,ZW1922
14,ZW192214,ZW1922
15,ZW192215,ZW1922
16,ZW192216,ZW1922
19,ZW192219,ZW1922
20,ZW192220,ZW1922
17,ZW192217,ZW1922
17,ZW180317,ZW1803
14,ZW180314,ZW1803
31,ZW180331,ZW1803
15,ZW180315,ZW1803
18,ZW180318,ZW1803
25,ZW180325,ZW1803
28,ZW180328,ZW1803
26,ZW180326,ZW1803
24,ZW180324,ZW1803
22,ZW180322,ZW1803
20,ZW180320,ZW1803
23,ZW180323,ZW1803
19,ZW180319,ZW1803
21,ZW180321,ZW1803
13,ZW180313,ZW1803
16,ZW180316,ZW1803
10,ZW180310,ZW1803
5,ZW180305,ZW1803
4,ZW180304,ZW1803
7,ZW180307,ZW1803
6,ZW180306,ZW1803
9,ZW180309,ZW1803
12,ZW180312,ZW1803
11,ZW180311,ZW1803
30,ZW180330,ZW1803
3,ZW180303,ZW1803
2,ZW180302,ZW1803
1,ZW180301,ZW1803
29,ZW180329,ZW1803
27,ZW180327,ZW1803
8,ZW180308,ZW1803
32,ZW180332,ZW1803
7,ZW192307,ZW1923
4,ZW192304,ZW1923
2,ZW192302,ZW1923
5,ZW192305,ZW1923
3,ZW192303,ZW1923
6,ZW192306,ZW1923
1,ZW192301,ZW1923
2,ZW170202,ZW1702
4,ZW170204,ZW1702
22,ZW170222,ZW1702
14,ZW170214,ZW1702
15,ZW170215,ZW1702
5,ZW170205,ZW1702
3,ZW170203,ZW1702
19,ZW170219,ZW1702
17,ZW170217,ZW1702
26,ZW170226,ZW1702
29,ZW170229,ZW1702
30,ZW170230,ZW1702
1,ZW170201,ZW1702
7,ZW170207,ZW1702
33,ZW170233,ZW1702
13,ZW170213,ZW1702
24,ZW170224,ZW1702
34,ZW170234,ZW1702
9,ZW170209,ZW1702
12,ZW170212,ZW1702
11,ZW170211,ZW1702
10,ZW170210,ZW1702
25,ZW170225,ZW1702
8,ZW170208,ZW1702
18,ZW170218,ZW1702
20,ZW170220,ZW1702
23,ZW170223,ZW1702
21,ZW170221,ZW1702
32,ZW170232,ZW1702
16,ZW170216,ZW1702
6,ZW170206,ZW1702
28,ZW170228,ZW1702
27,ZW170227,ZW1702
31,ZW170231,ZW1702
35,ZW170235,ZW1702
36,ZW170236,ZW1702
2,ZW170302,ZW1703
26,ZW170326,ZW1703
5,ZW170305,ZW1703
20,ZW170320,ZW1703
28,ZW170328,ZW1703
30,ZW170330,ZW1703
25,ZW170325,ZW1703
27,ZW170327,ZW1703
9,ZW170309,ZW1703
24,ZW170324,ZW1703
15,ZW170315,ZW1703
16,ZW170316,ZW1703
4,ZW170304,ZW1703
22,ZW170322,ZW1703
1,ZW170301,ZW1703
21,ZW170321,ZW1703
29,ZW170329,ZW1703
3,ZW170303,ZW1703
13,ZW170313,ZW1703
33,ZW170333,ZW1703
23,ZW170323,ZW1703
8,ZW170308,ZW1703
7,ZW170307,ZW1703
10,ZW170310,ZW1703
11,ZW170311,ZW1703
17,ZW170317,ZW1703
32,ZW170332,ZW1703
31,ZW170331,ZW1703
18,ZW170318,ZW1703
12,ZW170312,ZW1703
14,ZW170314,ZW1703
19,ZW170319,ZW1703
6,ZW170306,ZW1703
6,ZW172906,ZW1729
3,ZW172903,ZW1729
1,ZW172901,ZW1729
5,ZW172905,ZW1729
4,ZW172904,ZW1729
2,ZW172902,ZW1729
2,ZW130202,ZW1302
1,ZW130201,ZW1302
4,ZW130204,ZW1302
5,ZW130205,ZW1302
10,ZW130210,ZW1302
6,ZW130206,ZW1302
11,ZW130211,ZW1302
15,ZW130215,ZW1302
22,ZW130222,ZW1302
24,ZW130224,ZW1302
23,ZW130223,ZW1302
21,ZW130221,ZW1302
7,ZW130207,ZW1302
9,ZW130209,ZW1302
12,ZW130212,ZW1302
18,ZW130218,ZW1302
17,ZW130217,ZW1302
8,ZW130208,ZW1302
13,ZW130213,ZW1302
16,ZW130216,ZW1302
14,ZW130214,ZW1302
25,ZW130225,ZW1302
19,ZW130219,ZW1302
20,ZW130220,ZW1302
3,ZW130203,ZW1302
24,ZW120324,ZW1203
16,ZW120316,ZW1203
21,ZW120321,ZW1203
3,ZW120303,ZW1203
4,ZW120304,ZW1203
2,ZW120302,ZW1203
18,ZW120318,ZW1203
14,ZW120314,ZW1203
1,ZW120301,ZW1203
12,ZW120312,ZW1203
15,ZW120315,ZW1203
7,ZW120307,ZW1203
22,ZW120322,ZW1203
17,ZW120317,ZW1203
13,ZW120313,ZW1203
5,ZW120305,ZW1203
6,ZW120306,ZW1203
10,ZW120310,ZW1203
11,ZW120311,ZW1203
8,ZW120308,ZW1203
9,ZW120309,ZW1203
20,ZW120320,ZW1203
19,ZW120319,ZW1203
23,ZW120323,ZW1203
3,ZW180403,ZW1804
9,ZW180409,ZW1804
16,ZW180416,ZW1804
32,ZW180432,ZW1804
